ID,Common_name,Latitude,Longitude
6173,Striped field mouse,28.91667,111.96667
6174,Yellow-necked field mouse,52.732222,23.857222
6175,Yellow-necked field mouse,62.85,16.66667
6176,Long-tailed field mouse,51.776231,-1.333737
6188,Coyote,34.33639,-106.8075
6189,Grey wolf / Gray wolf,63.32972,-150.5
6191,Rock pocket mouse,34.33639,-106.8075
6192,Merriam's kangaroo rat,31.83333,-109.16667
6195,Bank vole,63.83333,20.25
6196,Bank vole,51.776231,-1.333737
6197,Grey-sided vole / Grey red-backed vole,44.5,142
6198,Grey-sided vole / Grey red-backed vole,63.83333,20.25
6205,Lesser short-nosed fruit bat,13.36667,101.83333
6206,Greater short-nosed fruit bat,13.36667,101.83333
6207,Lesser short-nosed fruit bat,13.36667,101.83333
6208,Greater short-nosed fruit bat,13.36667,101.83333
6216,Ord's kangaroo rat,31.83333,-109.16667
6217,Banner-tailed kangaroo rat,31.83333,-109.16667
6218,North American deermouse / deer mouse,31.83333,-109.16667
6223,Sea otter,36.31694,-122.13028
6224,Sea otter,36.97528,-122.16333
6225,Impala / Black-faced impala,-13,32.25
6226,Burchell's zebra / Plains zebra / Common zebra,-3.16667,35.58333
6227,Southern right whale,-35,26
6230,Thomson's gazelle,-3.16667,35.58333
6231,Grant's gazelle,-3.16667,35.58333
6232,Desert warthog / Cape warthog,-13,32.25
6242,Puku,-13,32.25
6243,Waterbuck,-13,32.25
6250,Arctic hare / Mountain hare,58.33473,11.213751
6257,Greater kudu,-13,32.25
6258,Ghost bat / Australian false vampire bat,-23.38333,150.46667
6260,Field vole,59.66667,15.41667
6261,Grey-sided vole / Grey red-backed vole,68.03333,24.2
6262,Common vole,52.2,18.2
6263,Common vole,54.16667,16.16667
6264,Common vole,50.91667,15.75
6265,Common vole,51.85,16.58333
6266,Common vole,50.66667,17.93333
6267,Common vole,53.15,16.73333
6268,Common vole,52.41667,16.88333
6269,Common vole,51.08333,17
6270,California vole,39,-123.33333
6271,California vole,39,-123.33333
6277,Brown rat / Norway rat,29.41667,112.16667
6278,Brown rat / Norway rat,28.91667,111.96667
6279,Stoat / Short-tailed weasel / Ermine,63,22.91667
6280,Least weasel,63,22.91667
6281,Nutria / Coypu,52.5,1
6282,Bank vole,52.732222,23.857222
6283,Bank vole,62.85,16.66667
6284,Bank vole,59.66667,15.41667
6285,Bank vole,65,35
6286,Bank vole,65,35
6287,Bank vole,56.63333,47.86667
6288,Bank vole,56.63333,47.86667
6289,Bank vole,56.81667,53.18333
6290,Bank vole,54.18333,37.63333
6291,Northern red-backed vole,68.03333,24.2
6292,Field vole,68.03333,24.2
6306,Chimpanzee,7.65,-8.5
6309,Desert pocket mouse,31.83333,-109.16667
6310,Silky pocket mouse,31.83333,-109.16667
6311,Burchell's zebra / Plains zebra / Common zebra,-13,32.25
6317,Ganges River dolphin,25.63667,85.11556
6318,Ganges River dolphin,25.63667,85.11556
6319,Ganges River dolphin,25.63667,85.11556
6320,Ganges River dolphin,25.63667,85.11556
6321,Ganges River dolphin,25.63667,85.11556
6322,Ganges River dolphin,25.63667,85.11556
6323,Ganges River dolphin,25.63667,85.11556
6328,Mongolian gazelle,47.52194,113.1925
6333,House mouse,29.41667,112.16667
6334,House mouse,28.91667,111.96667
6339,Saiga antelope,48,68
6348,Common shrew,62.85,16.66667
6349,American red squirrel,60.75,-139.5
6353,Wild boar / Wild pig,50.8625,-2.80694
6354,Giraffe,-13.16667,32.16667
6355,Arctic ground squirrel,60.75,-139.5
6363,African elephant,13.16667,32.16667
6364,West Indian manatee,27.41778,-82.72917
6365,West Indian manatee,28.20028,-80.44667
6366,Eurasian red squirrel,59.66667,15.41667
6367,Red kangaroo,-25,135
6371,Allegheny woodrat,40.95877,-73.91619
6378,Bryde's whale,29.25,-114.5
6379,Short-beaked common dolphin,29.25,-114.5
6382,Fin whale,29.25,-114.5
6389,Grevy's zebra,1,37
6394,American bison / Wood bison / Plains bison,44.76667,-110.53333
6395,Red deer / Elk,44.76667,-110.53333
6415,Fin whale,57,-170
6420,Minke whale,57,-170
6421,Humpback whale,57,-170
6422,Grey whale / Gray whale,57,-170
6423,Killer whale / Orca,57,-170
6424,Dall's porpoise,57,-170
6425,Big-eared opossum / Brazilian common opossum,-22.47444,-42.98333
6426,Eurasian otter / European river otter,62.28333,24.4
6431,African rat / Natal multimammate mouse,-7.08333,31.1
6432,African rat / Natal multimammate mouse,-6.75,31.41667
6433,Bushveld gerbil,-7.08333,31.1
6434,Bushveld gerbil,-6.75,31.41667
6435,Fring-tailed gerbil,-6.75,31.41667
6436,Typical striped grass mouse,-6.75,31.41667
6437,Griselda's striped grass mouse,-6.75,31.41667
6438,African marsh rat,-6.75,31.41667
6439,Pygmy mouse,-6.75,31.41667
6440,House rat,-6.75,31.41667
6441,Woodland dormouse,-7.08333,31.1
6442,Lesser red musk shrew,-6.75,31.41667
6449,Snowshoe hare,60.75,-139.5
6450,Field vole,59.66667,15.41667
6451,Bank vole,68.03333,24.2
6452,White throated woodrat,31.83333,-109.16667
6453,Harbour seal,43.91667,-60
6454,Common shrew,68.03333,24.2
6458,Wild boar / Wild pig,2.98333,102.3
6461,Insular flying-fox / Tongan flying fox,-13.65833,-172.43417
6468,Saddle-back tamarin,-11.91667,-71.3
6469,Brush-tailed rock-wallaby,-32.87389,150.49222
6470,Brush-tailed rock-wallaby,-32.87389,150.49222
6473,Lesser long-nosed bat,18.35417,-98.89167
6507,Spectacled flying fox,-16.94194,145.69056
6512,Lemuroid ringtail possum,-17.5,145.5
6517,Herbert river ringtailed possum,-17.5,145.5
6521,Green ringtail possum,-17.5,145.5
6523,Coppery brushtail possum,-17.5,145.5
6529,Lumholtz's tree kangaroo,-17.5,145.5
6549,Eurasian otter / European river otter,37,-6.41667
6550,Southern water vole,37,-6.41667
6551,Wild boar / Wild pig,37,-6.41667
6552,Wild boar / Wild pig,37,-6.41667
6553,Wild boar / Wild pig,37,-6.41667
6554,Wild boar / Wild pig,37,-6.41667
6555,Red deer / Elk,37,-6.41667
6556,Fallow deer,37,-6.41667
6557,European rabbit,37,-6.41667
6558,Granada hare,37,-6.41667
7353,Mink / American mink,40.66667,-0.66667
7429,European rabbit,43.56667,4.56667
7430,European rabbit,43.61667,4.46667
7431,European rabbit,43.61667,4.46667
7673,African elephant,-33.38722,25.60111
7674,Giraffe,3.83333,29.35
7675,African buffalo / Cape buffalo,0.5,37
7676,African elephant,0.5,37
7677,White-bearded wildebeest / Blue wildebeest,-2.33306,35
7678,Common eland / Eland,0.5,37
7679,Grant's gazelle,0.5,37
7680,Thomson's gazelle,0.5,37
7681,Gerenuk,0.5,37
7682,Giraffe,0.5,37
7683,Impala / Black-faced impala,0.5,37
7684,Hartebeest / Swayne's hartebeest,0.5,37
7685,Beisa / East African oryx,0.5,37
7687,Waterbuck,0.5,37
7688,Burchell's zebra / Plains zebra / Common zebra,0.5,37
7689,Grevy's zebra,0.5,37
7690,Hartebeest / Swayne's hartebeest,-6.13083,38.73028
7691,Waterbuck,-0.39861,36.09083
7692,African buffalo / Cape buffalo,-0.39861,36.09083
7693,Hippopotamus,-0.39861,36.09083
7694,Bohar reedbuck / Bohor reedbuck,-0.39861,36.09083
7695,Impala / Black-faced impala,-0.39861,36.09083
7696,Thomson's gazelle,-0.39861,36.09083
7697,Bushbuck,-0.39861,36.09083
7698,Desert warthog / Cape warthog,-0.39861,36.09083
7699,Mountain reedbuck / Western mountain reedbuck,-0.39861,36.09083
7708,White-bearded wildebeest / Blue wildebeest,-6.13083,38.73028
7709,Klipspringer / Western klipspringer,-0.39861,36.09083
7710,Common eland / Eland,-0.39861,36.09083
7711,Burchell's zebra / Plains zebra / Common zebra,-6.13083,38.73028
7712,Giraffe,-6.13083,38.73028
7713,Giraffe,-0.39861,36.09083
7714,Waterbuck,-6.13083,38.73028
7715,Grant's gazelle,-0.39861,36.09083
7716,Common warthog / Desert warthog,-6.13083,38.73028
7717,Bohar reedbuck / Bohor reedbuck,-6.13083,38.73028
7719,African elephant,3.90472,33.73806
7720,Black rhinoceros,-0.39861,36.09083
7721,Bushpig,-0.39861,36.09083
7722,African elephant,3.90472,33.73806
7724,Burchell's zebra / Plains zebra / Common zebra,-0.39861,36.09083
7727,Burchell's zebra / Plains zebra / Common zebra,-3.9,36.05
7728,Steenbok / Steenbuck,-0.39861,36.09083
7731,Wild yak,35.83333,92
7732,Tibetan gazelle,35.83333,92
7733,Argali / Kizil-kum sheep,35.83333,92
7734,Bharal,35.83333,92
7735,Daubenton's bat,54,-4
7736,Common pipistrelle,54,-4
7737,Natterer's bat,54,-4
7738,Serotine bat,54,-4
7739,Greater horseshoe bat,54,-4
7740,Lesser horseshoe bat,54,-4
7741,Soprano pipistrelle,54,-4
7742,Noctule bat,54,-4
7743,Brown long-eared bat,54,-4
7748,Addax,16.5,18.5
7819,Grizzly bear / Brown bear,35,75.45
7839,Sitatunga,12.76667,14.51667
7840,Putty-nosed monkey,3.81667,17.16667
7841,Crowned monkey,3.81667,17.16667
7842,Moustached monkey,3.81667,17.16667
7843,Grey-cheeked mangabey,3.81667,17.16667
7914,Northern grasshopper mouse,31.83333,-109.16667
7915,Southern grasshopper mouse,31.83333,-109.16667
7916,Cactus mouse,31.83333,-109.16667
7917,Western harvest mouse,31.83333,-109.16667
7966,Field vole,63.83333,20.25
7968,Brown spiny rat,4.03333,114.08333
7969,Whiteheadâ€™s sundaic maxomys,4.03333,114.08333
8032,Arctic fox,69.08333,49.25
8058,Moose,68.16667,-137
8076,Polar bear,63.16667,-88.5
8081,Polar bear,56.42278,-83.6375
8084,Polar bear,75.37972,-125.73556
8093,Wrangel Island collared / Vinogradov's lemming,71.26667,-179
8094,Siberian lemming,71.26667,-179
8103,Arctic fox,72.5,-24.01667
8104,Collared lemming / Northern collared lemming / Nearctic collared lemming,72.5,-24.01667
8119,Collared lemming / Northern collared lemming / Nearctic collared lemming,74.46667,-20.56667
8147,Eurasian lynx,66.66667,31
8148,Arctic hare / Mountain hare,66.66667,31
8200,Arctic fox,76.01667,104.01667
8208,Snow sheep,68,95
8214,Nearctic brown lemming,73.13333,-80
8215,Collared lemming / Northern collared lemming / Nearctic collared lemming,73.13333,-80
8216,Nearctic brown lemming,72.88333,-79.91667
8217,Collared lemming / Northern collared lemming / Nearctic collared lemming,72.88333,-79.91667
8221,Arctic fox,74.08333,-21
8226,Collared lemming / Northern collared lemming / Nearctic collared lemming,74.08333,-21
8250,Musk ox,74.08333,-21
8321,Harbour seal,56.33333,10
8322,Harbour seal,63.30278,19.90361
8323,Eurasian otter / European river otter,56.16667,9.33333
8421,Wolverine,67.13333,18.5
8465,Burchell's zebra / Plains zebra / Common zebra,-24.83333,31.5
8466,White-bearded wildebeest / Blue wildebeest,-24.83333,31.5
8480,Eurasian red squirrel,49.21806,-2.17694
8482,Eurasian red squirrel,49.18833,-2.18639
8483,Eurasian red squirrel,49.21778,-2.1325
8485,Tiger,28.3,81.41667
8522,Smooth-coated otter,24.91667,75.56667
8523,Impala / Black-faced impala,-19,26.5
8524,Greater kudu,-19,26.5
8526,Giraffe,-19,26.5
8527,Common duiker / Grey duiker,-19,26.5
8528,Steenbok / Steenbuck,-19,26.5
8530,African buffalo / Cape buffalo,-19,26.5
8532,Southern reedbuck / Common reedbuck,-19,26.5
8534,Roan antelope,-19,26.5
8535,Sable antelope,-19,26.5
8536,Desert warthog / Cape warthog,-19,26.5
8537,Waterbuck,-19,26.5
8538,White-bearded wildebeest / Blue wildebeest,-19,26.5
8539,Burchell's zebra / Plains zebra / Common zebra,-19,26.5
8540,African elephant,-19,26.5
8546,Humpback whale,-16.66667,-37.23333
8548,Azara's grass mouse,-33.02611,-64.18917
8549,Grey snub-nosed monkey,27.96667,108.75
8553,African elephant,-18.31667,25.13333
8554,African elephant,-23.79,23.7
8555,African elephant,-26.41667,32.75
8586,Mountain gazelle,30.12,34.9
8587,Dorcas gazelle,30.12,34.9
8641,Golden monkey,-1.36694,29.63333
8646,Black rhinoceros,-1.4,34.9
8647,Blue duiker,5.28,9.06
8648,African elephant,-3.77833,39.27861
8654,African elephant,-33.31472,25.43361
8656,Greater kudu,-25.03333,31.41111
8682,Big-eared opossum / Brazilian common opossum,-22.03333,-42.65
8684,South American water rat,-22.03333,-42.65
8686,Southeastern four-eyed opossum,-22.03333,-42.65
8688,Cursor grass mouse / Cusorial akodont,-22.03333,-42.65
8690,Jaguar,-25.51806,-54.13333
8706,Wild boar / Wild pig,-35.93333,-57.1
8707,Pampas deer,-35.93333,-57.1
8708,Guanaco,-51.05,-72.91667
8711,Common tenrec,-12.51667,49.16667
8712,Big-eared opossum / Brazilian common opossum,-22.01667,-42.61667
8713,Striped shrew tenrec,-12.51667,49.16667
8714,Pale-footed shrew tenrec,-12.51667,49.16667
8715,Southeastern four-eyed opossum,-22.01667,-42.61667
8716,Lesser long-tailed shrew tenrec,-12.51667,49.16667
8717,South American water rat,-22.01667,-42.61667
8718,Talzac's shrew tenrec,-12.51667,49.16667
8719,Cursor grass mouse / Cusorial akodont,-22.01667,-42.61667
8720,House shrew,-12.51667,49.16667
8721,Black-footed pygmy rice rat / Delta pygmy rice rat,-22.01667,-42.61667
8722,Crab-eating raccoon,-17,-61.13333
8732,Long-tailed pygmy rice rat,-39.63333,-73.11667
8733,Spiny pocket mouse,26.11667,-111.28333
8734,Coronados deer mouse / False canyon mouse,26.11667,-111.28333
8744,Mexican prairie dog / Mexican prairie marmot,23.93333,-100.83333
8746,Mexican prairie dog / Mexican prairie marmot,25.1,-101
8753,Big-eared opossum / Brazilian common opossum,-27.71667,-48.7
8755,Long-furred woolly mouse opossum,-27.71667,-48.7
8756,Montane akodont,-27.71667,-48.7
8757,South American water rat,-27.71667,-48.7
8758,Black-footed pygmy rice rat / Delta pygmy rice rat,-27.71667,-48.7
8759,Russet rice rat,-27.71667,-48.7
8760,Paraguayan rice rat,-27.71667,-48.7
8823,Tehuantepec jackrabbit,16.36806,-94.5875
8824,Tehuantepec jackrabbit,16.23278,-94.63222
8826,Mexican spiny pocket mouse,18.525,-98.945
8828,Mexican spiny pocket mouse,18.525,-98.945
8829,Southern pygmy mouse,18.525,-98.945
8830,Southern pygmy mouse,18.525,-98.945
8831,Nimble-footed deer mouse,18.525,-98.945
8832,Plateau deer mouse / Plateau mouse,18.525,-98.945
8834,Plateau deer mouse / Plateau mouse,18.525,-98.945
8904,Bighorn sheep,28.99194,-112.37
8931,Tasmanian devil,-42.06472,148.28722
8932,Leopard,-27.83333,31.83333
8996,CÃ³rdoba laucha,-33.02611,-64.18917
8997,Azara's grass mouse,-33.02611,-64.18917
9002,Azara's grass mouse,-38.6,-58.8
9003,Red hocicudo,-38.6,-58.8
9040,Northern muriqui,-20.07111,-42.73944
9044,Northern muriqui,-19.65222,-41.89444
9045,Collared lemming / Northern collared lemming / Nearctic collared lemming,67.23333,-100.25
9046,Northern red-backed vole,67.23333,-100.25
9051,Southern sea lion / South American sea lion,-20.17472,-70.1425
9052,Southern sea lion / South American sea lion,-20.81083,-70.20444
9055,Sea otter,36.6,-121.95
9056,Sea otter,37.1,-122.33333
9100,Lion-tailed macaque,10.33333,76.96667
9104,Yellow-bellied marmot,39.56667,-105.78333
9107,African wild ass,8.35,48.71667
9108,African wild ass,10.6,40.95
9109,African wild ass,10.35,41.8
9110,Grevy's zebra,-0.43333,39.66667
9111,Grevy's zebra,0.33333,37.56667
9112,Grevy's zebra,0.31667,37.51667
9113,Grevy's zebra,-0.1925,36.77083
9114,Grevy's zebra,2.33333,37.91667
9115,Grevy's zebra,-1.51611,39.65
9116,Cape mountain zebra,-32.19944,25.47639
9117,Cape mountain zebra,-32.25,22.28333
9118,Cape mountain zebra,-33.43333,25.73333
9119,Cape mountain zebra,-34.06667,20.46667
9120,Cape mountain zebra,-33.91667,18.41667
9121,Cape mountain zebra,-34.43806,20.47417
9122,Cape mountain zebra,-33.61444,23.54222
9123,Cape mountain zebra,-33.71222,21.91278
9124,Cape mountain zebra,-33.65,22.41667
9125,Cape mountain zebra,-32.05,26.01667
9126,Sperm whale,37.96667,-27.21667
9127,Harbour seal,48.18333,-123.4
9128,Hawaiian monk seal,19.41667,-156.06667
9129,Harbour porpoise,35.36667,-120.9
9130,Harbour porpoise,36.86667,-121.93333
9131,Harbour porpoise,37.78333,-122.53333
9132,Harbour porpoise,41,-124.4
9133,Killer whale / Orca,49.23333,-128.71667
9134,Humpback whale,41.2,-126.11667
9141,Ganges River dolphin,28.25,81.18333
9142,Ganges River dolphin,27.11667,79.93333
9144,Snowshoe hare,60.95,-138.2
9146,Short-beaked common dolphin,37.28333,-128.96667
9147,Long-beaked common dolphin,37.28333,-128.96667
9148,Striped dolphin,37.28333,-128.96667
9149,Pacific white-sided dolphin,37.28333,-128.96667
9150,Northern right whale dolphin,37.28333,-128.96667
9151,Risso's dolphin,37.28333,-128.96667
9152,Short-finned pilot whale,37.28333,-128.96667
9153,Killer whale / Orca,37.28333,-128.96667
9154,Dall's porpoise,37.28333,-128.96667
9155,Cuvier's beaked whale,37.28333,-128.96667
9156,Baird's beaked whale,37.28333,-128.96667
9157,Sperm whale,37.28333,-128.96667
9158,Minke whale,37.28333,-128.96667
9159,Bryde's whale,37.28333,-128.96667
9160,Sei whale,37.28333,-128.96667
9161,Fin whale,37.28333,-128.96667
9162,Blue whale,37.28333,-128.96667
9163,Humpback whale,37.28333,-128.96667
9164,Short-beaked common dolphin,41.7,-127.03333
9165,Striped dolphin,41.7,-127.03333
9166,Pacific white-sided dolphin,41.7,-127.03333
9167,Northern right whale dolphin,41.7,-127.03333
9168,Risso's dolphin,41.7,-127.03333
9169,Killer whale / Orca,41.7,-127.03333
9170,Dall's porpoise,41.7,-127.03333
9171,Baird's beaked whale,41.7,-127.03333
9172,Sperm whale,41.7,-127.03333
9173,Minke whale,41.7,-127.03333
9174,Sei whale,41.7,-127.03333
9175,Fin whale,41.7,-127.03333
9176,Blue whale,41.7,-127.03333
9177,Humpback whale,41.7,-127.03333
9179,North Atlantic right whale,41.95,-70.28333
9180,Grey whale / Gray whale,49.31667,146.01667
9234,Humpback whale,48.13333,-124.7
9238,Humpback whale,22.4,-108.58333
9239,Humpback whale,20.21667,-113.76667
9242,Black rhinoceros,-26,27
9243,Ursine colobus,7.71667,-1.7
9244,Woolly spider monkey,-19.35,-43.43333
9245,Guereza / Magistrate colobus / Eastern black-and-white colobus,0.33333,30.41667
9246,Pennant's red colobus,0.33333,30.41667
9260,Harbour seal,45.435,-123.945
9263,Harbour seal,45.435,-123.945
9305,Humpback whale,41.26528,-67.45083
9307,Humpback whale,42.75151,-70.08363
9308,Humpback whale,42.75151,-70.08363
9309,Humpback whale,42.75151,-70.08363
9784,Ugandan red colobus,0.56667,30.36667
9785,Ugandan red colobus,0.56667,30.36667
9786,Guereza / Magistrate colobus / Eastern black-and-white colobus,0.56667,30.36667
9787,Guereza / Magistrate colobus / Eastern black-and-white colobus,0.56667,30.36667
9788,Red-tailed monkey,0.56667,30.36667
9789,Red-tailed monkey,0.56667,30.36667
9790,Blue monkey,0.56667,30.36667
9791,Blue monkey,0.56667,30.36667
9792,Grey-cheeked mangabey,0.56667,30.36667
9793,Grey-cheeked mangabey,0.56667,30.36667
9802,Beluga whale,63.84917,-164.26889
9803,Sea otter,55.2,-163.76667
9804,Sea otter,56.08333,-161.96667
9805,Sea otter,54.86667,-162.01667
9806,Sea otter,54.86667,-162.01667
9807,Sea otter,56.71667,-157.15
9808,Northern fur seal,56.56667,-169.6
9813,Sea otter,51.78444,-176.64028
9814,Killer whale / Orca,60.615,-147.16806
9815,Killer whale / Orca,60.615,-147.16806
9816,Killer whale / Orca,60.615,-147.16806
9817,Killer whale / Orca,60.615,-147.16806
9818,African elephant,11.20972,14.61361
9819,Giraffe,11.20972,14.61361
9821,Common duiker / Grey duiker,8.66861,14.60917
9822,Oribi,8.66861,14.60917
9823,Hartebeest / Swayne's hartebeest,8.66861,14.60917
9824,Bushbuck,8.66861,14.60917
9825,Common warthog / Desert warthog,8.66861,14.60917
9826,African elephant,8.66861,14.60917
9827,African elephant,8.21861,14.61361
9828,African buffalo / Cape buffalo,-6.13083,38.73028
9829,African buffalo / Cape buffalo,8.21861,19.69306
9830,Giraffe,8.21861,19.69306
9831,Common eland / Eland,-6.13083,38.73028
9832,Bushbuck,-6.13083,38.73028
9833,Giant eland / Derby's eland,8.21861,19.69306
9834,Greater kudu,-6.13083,38.73028
9835,Hartebeest / Swayne's hartebeest,8.21861,19.69306
9836,Sable antelope,-6.13083,38.73028
9837,Waterbuck,8.21861,19.69306
9838,Kob,8.21861,14.61083
9839,African elephant,-6.13083,38.73028
9840,Bushpig,-6.13083,38.73028
9841,Roan antelope,8.21861,19.69306
9842,African elephant,-4,36
9843,Maxwell's duiker,10.41417,-10.33194
9844,African buffalo / Cape buffalo,-4,36
9845,White-bearded wildebeest / Blue wildebeest,-4,36
9846,Impala / Black-faced impala,-4,36
9847,Red-flanked duiker,10.41417,-10.33194
9848,Common eland / Eland,-4,36
9849,Forest hog / Giant forest hog / Western forest hog,10.41417,-10.33194
9850,Hartebeest / Swayne's hartebeest,10.41417,-10.33194
9851,Giraffe,-4,36
9853,Waterbuck,10.41417,-10.33194
9854,Hartebeest / Swayne's hartebeest,-4,36
9855,Common warthog / Desert warthog,10.41417,-10.33194
9856,African buffalo / Cape buffalo,10.41417,-10.33194
9857,Beisa / East African oryx,-4,36
9858,Bushbuck,10.41417,-10.33194
9859,Lesser kudu,-4,36
9860,Beisa / East African oryx,0.22139,37.44806
9861,Bohar reedbuck / Bohor reedbuck,-4,36
9862,African buffalo / Cape buffalo,0.22139,37.44806
9863,Bushbuck,0.22139,37.44806
9864,Cheetah,0.22139,37.44806
9865,Common eland / Eland,0.22139,37.44806
9866,Burchell's zebra / Plains zebra / Common zebra,-2.33333,34.01389
9867,African elephant,0.22139,37.44806
9868,Gerenuk,0.22139,37.44806
9869,African buffalo / Cape buffalo,-2.2,31.26667
9870,Bushbuck,-2.2,31.26667
9871,Common eland / Eland,-2.2,31.26667
9872,Giraffe,-2.2,31.26667
9873,Impala / Black-faced impala,-2.2,31.26667
9874,Hartebeest / Swayne's hartebeest,-2.2,31.26667
9875,Bohar reedbuck / Bohor reedbuck,-2.2,31.26667
9876,Roan antelope,-2.2,31.26667
9877,Giraffe,0.22139,37.41667
9878,Sable antelope,-2.2,31.26667
9879,Grant's gazelle,0.22139,37.44806
9880,Sitatunga,-2.2,31.26667
9881,Waterbuck,-2.2,31.26667
9882,Greater kudu,0.23083,37.44806
9883,Hartebeest / Swayne's hartebeest,0.22139,37.44806
9884,Impala / Black-faced impala,0.22139,37.44806
9885,Common warthog / Desert warthog,-2.2,31.26667
9886,Burchell's zebra / Plains zebra / Common zebra,-2.2,31.26667
9887,Klipspringer / Western klipspringer,0.22139,37.44806
9888,African lion / Asiatic lion,0.22139,37.44806
9890,Black rhinoceros,0.22139,37.44806
9892,Southern white rhinoceros / Northern white rhinoceros,0.22139,37.44806
9896,Sitatunga,0.22139,37.44806
9899,Common warthog / Desert warthog,0.22139,37.44806
9901,Waterbuck,0.22139,37.44806
9902,African buffalo / Cape buffalo,-4.16667,31.75
9903,Burchell's zebra / Plains zebra / Common zebra,0.38806,37.44806
9904,Bushbuck,-4.16667,31.75
9905,African elephant,-4.16667,31.75
9906,Hirola / Hunter's antelope / Hunter's hartebeest,1,38
9907,Hippopotamus,-4.16667,31.75
9908,Southern reedbuck / Common reedbuck,-10.60667,33.88
9909,Giraffe,-4.16667,31.75
9910,Burchell's zebra / Plains zebra / Common zebra,-4.74111,31.38806
9911,Hartebeest / Swayne's hartebeest,-4.16667,31.75
9912,Bohar reedbuck / Bohor reedbuck,-4.16667,31.75
9913,Roan antelope,-4.16667,31.75
9914,Sable antelope,-4.16667,31.75
9915,Sitatunga,-4.16667,31.75
9916,Common eland / Eland,-10.39333,33.88
9917,Common warthog / Desert warthog,-4.16667,31.75
9918,Roan antelope,-10.39333,33.88
9919,Burchell's zebra / Plains zebra / Common zebra,-10.39333,33.88
9924,Waterbuck,-4.16667,31.75
9947,Bohar reedbuck / Bohor reedbuck,2.33333,34.25
9950,African lion / Asiatic lion,3.88278,33.87444
9951,Cheetah,3.88278,33.87444
9953,Grant's gazelle,2.58333,34.5
9958,Grant's gazelle,1.83722,34.24167
9961,Bohar reedbuck / Bohor reedbuck,1.83722,34.24167
9963,Topi / Korrigum / Tiang,-4.16667,31.75
9965,Topi / Korrigum / Tiang,-2.2,31.26667
9980,Thomson's gazelle,-2.33333,34.83333
9984,Burchell's zebra / Plains zebra / Common zebra,-2.33333,34.83333
9988,African elephant,-9,37.5
10010,African elephant,-28.22361,31.90167
10013,African buffalo / Cape buffalo,-28.22361,31.90167
10015,Black rhinoceros,-28.22361,31.90167
10016,Giraffe,-28.22361,31.90167
10020,Impala / Black-faced impala,-28.22361,31.90167
10021,Greater kudu,-28.22361,31.90167
10022,Nyala,-28.22361,31.90167
10023,Common warthog / Desert warthog,-28.22361,31.90167
10026,Waterbuck,-28.22361,31.90167
10028,Southern white rhinoceros / Northern white rhinoceros,-28.22361,31.90167
10030,White-bearded wildebeest / Blue wildebeest,-28.22361,31.90167
10032,Burchell's zebra / Plains zebra / Common zebra,-28.22361,31.90167
10039,White-bearded wildebeest / Blue wildebeest,-25.26028,27.10028
10045,Cape mountain zebra,-32.18333,26.50194
10063,Black lechwe,-11.5,30.25
10064,Hippopotamus,-13.01389,31.54583
10065,Black rhinoceros,-13.16667,31.5
10066,African elephant,-13.16667,31.5
10067,Waterbuck,-21.11667,31.93333
10071,Black rhinoceros,-3.16667,35.58333
10072,African elephant,-7.5,35
10073,Sambar,29.91667,78.25
10074,Chital / Axis deer / Indian spotted deer,29.91667,78.25
10075,Nilgai,29.91667,78.25
10076,Wild boar / Wild pig,29.91667,78.25
10077,Northern Plains gray langur / Bengal hanuman langur,29.91667,78.25
10079,Leopard,29.91667,78.25
10080,Tiger,29.91667,78.25
10081,African buffalo / Cape buffalo,-21.11667,31.93333
10082,Common eland / Eland,-21.11667,31.93333
10083,African elephant,-21.11667,31.93333
10084,Giraffe,-21.11667,31.93333
10085,Hartebeest / Swayne's hartebeest,-21.11667,31.93333
10086,Hippopotamus,-21.11667,31.93333
10087,Impala / Black-faced impala,-21.11667,31.93333
10088,Greater kudu,-21.11667,31.93333
10089,Black rhinoceros,-21.11667,31.93333
10090,Southern white rhinoceros / Northern white rhinoceros,-21.11667,31.93333
10091,Roan antelope,-21.11667,31.93333
10092,Sable antelope,-21.11667,31.93333
10093,Common warthog / Desert warthog,-21.11667,31.93333
10094,White-bearded wildebeest / Blue wildebeest,-21.11667,31.93333
10095,Burchell's zebra / Plains zebra / Common zebra,-21.11667,31.93333
10096,African lion / Asiatic lion,9.63333,-1.81667
10097,Gray-headed lemur,-23.03333,47.68333
10360,Western hoolock gibbon,27.41417,95.31083
10363,Capped langur,27.41417,95.31083
10364,Assamese macaque,27.41417,95.31083
10365,Pig-tailed macaque,27.41417,95.31083
10366,Rhesus monkey,28.51111,77.26389
10367,Dark-bellied bonnet macaque,12.3,76.7
10370,Red muntjac,15.38333,98.71667
10371,Sambar,15.38333,98.71667
10372,Gaur,15.38333,98.71667
10376,Wild boar / Wild pig,15.38333,98.71667
10378,Southern serow,15.38333,98.71667
10392,Musk ox,62.03333,9.05
10411,Alpine marmot,45.775,2.96667
10466,Harbour porpoise,54.73333,7.51667
10468,Harbour porpoise,54.66667,10.31667
10473,Harbour porpoise,54.36667,11.73333
10474,Harbour porpoise,54.88333,14.16667
10476,Harbour porpoise,54.95,6.81667
10488,Harbour porpoise,53.5,4.31667
10489,Harbour porpoise,57.6,-6.8
10493,Wild cat,47.18333,20.13333
10496,Killer whale / Orca,60.21667,-0.93333
