ID,Common_name,Latitude,Longitude
192,Northern hairy-nosed wombat,-25,135
193,Western grey kangaroo,-23.7,133.88333
194,Eastern grey kangaroo,-23.7,133.88333
195,Eastern barred bandicoot,-37.75,142.03333
196,Quokka,-32.11667,115.85
197,Common brush-tailed possum,-42,147
202,Mariana fruit bat,13.46667,144.78333
205,Chital / Axis deer / Indian spotted deer,21.33306,70.79167
206,Hog deer,26.63333,93.38333
207,Gaur,26.63333,93.38333
208,Nilgai,21.33306,70.79167
209,Asiatic buffalo / Water buffalo,26.63333,93.38333
210,Asiatic buffalo / Water buffalo,26.64889,86.99667
211,Swamp deer,26.63333,93.38333
212,Swamp deer,28.91667,80.33333
213,Red deer / Elk,20,77
214,Sambar,26.63333,93.38333
215,Sambar,21.33306,70.79167
216,Asian elephant,11.61,99.52611
217,Asian elephant,26.63333,93.38333
218,Wild ass / Kulan,24.08333,70.16667
219,Chinkara,21.33306,70.79167
220,Nilgiri tahr,11.91667,77.03333
221,Nilgiri tahr,10,77
222,Nilgiri tahr,10.21722,76.8175
223,Lion-tailed macaque,14,75
224,Lion-tailed macaque,11,78
225,Argali / Kizil-kum sheep,36.58694,75.39972
226,Urial,32.83,71.62972
227,Urial,30.00556,70.01472
228,African lion / Asiatic lion,21.33306,70.79167
229,African lion / Asiatic lion,21.33306,70.79167
230,Leopard,21.33306,70.79167
231,Tiger,26.35722,117.19778
232,Tiger,3.11667,101.68333
233,Tiger,-1.06667,104.2
234,Tiger,21.88333,80.66667
235,Javan rhinoceros,11.462938,107.260367
236,Javan rhinoceros,-6.73658,105.359101
237,Javan rhinoceros,-6.73658,105.359101
238,Greater one-horned rhino,26.98333,84.85
239,Four-horned antelope,21.33306,70.79167
240,Francois leaf monkey,22.21667,107.06667
241,Fran̤ois' langur,22.81667,108.31667
242,Fran̤ois' langur,22.81667,108.31667
257,Chacoan peccary,-23,-60
258,South Andean deer / Huemul,-30,-71
259,Golden-headed lion tamarin,-26.41667,-48.83333
260,Black-crowned Central American squirrel monkey,10,-84
261,Baird's tapir / Central American tapir,9.15472,-79.84806
262,Vicuna,-18.2,-69.58333
492,Giant panda,35,105
493,Elk / moose,60,100
497,Elk / moose,60.32139,33.98333
499,Elk / moose,62.36444,41.97944
500,Elk / moose,59,26
501,Elk / moose,57,25
502,Elk / moose,56,24
503,Elk / moose,62,15
504,European bison,52.74444,23.86333
505,European bison,49.08806,22.56694
506,Grey wolf / Gray wolf,62.5,25.5
507,Grey wolf / Gray wolf,64,32.5
508,Grey wolf / Gray wolf,68.43333,26.58333
509,Grey wolf / Gray wolf,65.82333,32.20167
510,Grey wolf / Gray wolf,64,26
511,Grey wolf / Gray wolf,61.77028,33.9525
515,Grey wolf / Gray wolf,60.32139,33.98333
518,Grey wolf / Gray wolf,62.36444,41.97944
519,Grey wolf / Gray wolf,39.06667,-8.23333
520,Grey wolf / Gray wolf,40,-4
521,Grey wolf / Gray wolf,47,3
522,Grey wolf / Gray wolf,42.83333,12.83333
523,Grey wolf / Gray wolf,51.5,10.5
524,Grey wolf / Gray wolf,62,10
525,Grey wolf / Gray wolf,52,20
526,Grey wolf / Gray wolf,57,25
527,Grey wolf / Gray wolf,49.75,15
528,Grey wolf / Gray wolf,46,15
529,Grey wolf / Gray wolf,45.16667,15.5
530,Grey wolf / Gray wolf,47,20
531,Grey wolf / Gray wolf,46,25
532,Grey wolf / Gray wolf,43,25
533,Grey wolf / Gray wolf,39,22
534,Sind ibex,25.7,67.58333
535,East Caucasian tur / Daghestan tur,41.88333,46.41667
536,Markhor,42,63
537,Alpine ibex,47,8
538,Alpine ibex,47,8
539,Alpine ibex,45.41667,7.56667
540,Nubian ibex,31.5,34.75
541,European roe deer,52.5,5.75
542,Red deer / Elk,39,71
543,Red deer / Elk,37.91667,-2.91667
544,Red deer / Elk,50.83333,4
545,Red deer / Elk,43,25
546,Red deer / Elk,45.16667,15.5
547,Red deer / Elk,42.83333,12.83333
548,Red deer / Elk,52.5,5.75
549,Red deer / Elk,46,25
550,Red deer / Elk,56,-4
551,Red deer / Elk,28,3
552,Grey-sided vole / Grey red-backed vole,43.5,143
553,Grey-sided vole / Grey red-backed vole,43.5,143
554,Grey-sided vole / Grey red-backed vole,67.65,32.6
555,Fallow deer,42.83333,12.83333
556,Fallow deer,37.91667,-2.91667
557,Fallow deer,36.66778,53.2375
558,Wild ass / Kulan,43.82861,96.58028
559,Atlas gazelle / Cuvier's gazelle / Mountain gazelle,33.98028,3.12694
560,Atlas gazelle / Cuvier's gazelle / Mountain gazelle,28,3
561,Wolverine,64,26
562,Wolverine,62.5,25.5
563,Wolverine,64,26
564,Wolverine,67,27
565,Wolverine,62.32,9.26833
566,Wolverine,61.77028,33.9525
567,Wolverine,64,32.5
568,Wolverine,65.82333,32.20167
574,Wolverine,62.36444,41.97944
575,Norway lemming,68.8,37.34528
576,Eurasian lynx,45.16667,5.71667
577,Eurasian lynx,45.83333,12.83333
578,Eurasian lynx,47,8
579,Eurasian lynx,47.33333,13.33333
580,Eurasian lynx,51.5,10.5
